"id","price","brand","model","year","mileage","color","state","country","title_status"
1,6300,toyota,cruiser,2008,274117,black,new jersey, usa,clean vehicle
2,2899,ford,se,2011,190552,silver,tennessee, usa,clean vehicle
3,5350,dodge,mpv,2018,39590,silver,georgia, usa,clean vehicle
4,25000,ford,door,2014,64146,blue,virginia, usa,clean vehicle
5,27700,chevrolet,"1500",2018,6654,red,florida, usa,clean vehicle
6,5700,dodge,mpv,2018,45561,white,texas, usa,clean vehicle
7,7300,chevrolet,pk,2010,149050,black,georgia, usa,clean vehicle
8,13350,gmc,door,2017,23525,gray,california, usa,clean vehicle
9,14600,chevrolet,malibu,2018,9371,silver,florida, usa,clean vehicle
10,5250,ford,mpv,2017,63418,black,texas, usa,clean vehicle
11,10400,dodge,coupe,2009,107856,orange,georgia, usa,clean vehicle
12,12920,gmc,mpv,2017,39650,white,california, usa,clean vehicle
13,31900,chevrolet,"1500",2018,22909,black,tennessee, usa,clean vehicle
14,5430,chrysler,wagon,2017,138650,gray,texas, usa,clean vehicle
15,20700,ford,door,2013,100757,black,virginia, usa,clean vehicle
16,12710,gmc,door,2017,25747,white,california, usa,clean vehicle
17,5200,kia,forte,2018,46194,blue,north carolina, usa,clean vehicle
18,16500,buick,encore,2018,20002,red,tennessee, usa,clean vehicle
19,5210,ford,mpv,2017,35714,white,texas, usa,clean vehicle
20,38100,ford,door,2013,54380,gray,virginia, usa,clean vehicle
21,12520,gmc,door,2017,30114,white,california, usa,clean vehicle
22,7300,kia,forte,2018,38823,black,north carolina, usa,clean vehicle
23,15000,chevrolet,door,2015,61578,black,ohio, usa,clean vehicle
24,6180,ford,mpv,2017,46010,blue,texas, usa,clean vehicle
25,20800,ford,door,2013,105510,silver,virginia, usa,clean vehicle
26,11900,gmc,door,2017,28040,silver,california, usa,clean vehicle
27,21500,kia,sorento,2020,11451,blue,north carolina, usa,clean vehicle
28,12000,buick,door,2014,31039,brown,ohio, usa,clean vehicle
29,4190,ford,doors,2017,44174,white,texas, usa,clean vehicle
30,13000,ford,chassis,2008,93698,white,tennessee, usa,clean vehicle
31,12710,gmc,door,2017,26364,silver,california, usa,clean vehicle
32,18500,infiniti,q70,2016,71967,gray,new york, usa,clean vehicle
33,29800,chevrolet,camaro,1973,46226,red,pennsylvania, usa,clean vehicle
34,5330,ford,mpv,2017,37792,no_color,texas, usa,clean vehicle
35,13000,ford,convertible,2003,58817,gray,virginia, usa,clean vehicle
36,11900,gmc,door,2017,27965,black,california, usa,clean vehicle
37,16600,mercedes-benz,vans,2016,110907,white,new york, usa,clean vehicle
38,19200,chevrolet,"1500",2018,2430,white,tennessee, usa,clean vehicle
39,7320,ford,mpv,2017,32366,gold,texas, usa,clean vehicle
40,7000,ford,pk,2003,176567,white,tennessee, usa,clean vehicle
41,12710,gmc,door,2017,30049,white,california, usa,clean vehicle
42,16600,mercedes-benz,vans,2016,97983,white,new york, usa,clean vehicle
43,30500,chevrolet,"1500",2018,30442,red,tennessee, usa,clean vehicle
44,6330,ford,mpv,2017,38123,red,texas, usa,clean vehicle
45,55000,ford,srw,2017,15273,black,pennsylvania, usa,clean vehicle
46,12520,gmc,door,2017,28972,black,california, usa,clean vehicle
47,16200,jeep,compass,2019,30061,red,north carolina, usa,clean vehicle
48,19000,chevrolet,malibu,2017,18414,white,tennessee, usa,clean vehicle
49,5580,dodge,mpv,2017,46829,gray,texas, usa,clean vehicle
50,54000,ford,srw,2017,26241,black,pennsylvania, usa,clean vehicle
51,12710,gmc,mpv,2017,39886,red,california, usa,clean vehicle
52,16000,jeep,compass,2019,31594,silver,north carolina, usa,clean vehicle
